Quantity,Comment,Description,Footprint,Designator
1,N-DAP,,N-DAP,B1
3,100nF,CAPACITOR,0603_cap,"C1, C4, C5"
2,18pF,CAPACITOR,0603_cap,"C2, C3"
2,30pF,CAPACITOR,0603_cap,"C6, C7"
2,1uF/MLCC,CAPACITOR,0603_CAP,"C8, C10"
1,LED_RED_0603,,0603_LED_RED,D1
1,LED_GRN_0603,,0603_LED_GRN,D2
1,LED_BLU_0603,,0603_LED_BLU,D3
1,NSR20F30NXT5G,DIODE,0603_DIODE-CDSU101A,D5
1,USB-MINI-B,,USB-MINI-B-HIR-UX60A-MB-5ST,JP2
1,"BSS84,215",POWER MOSFET-P SOT23,SOT323/SC70-3_SMALL,Q1
4,10K,RESISTOR,0603_res,"R1, R3, R4, R14"
1,680R,RESISTOR,0603_res,R2
2,470R,RESISTOR,0603_res,"R5, R7"
2,33R,RESISTOR,0603_res,"R6, R8"
1,1.5K,RESISTOR,0603_res,R10
2,0R,RESISTOR,0603_res,"R12, R13"
1,18K,RESISTOR,0603_res,R15
2,EVQ-P2202M,BUTTON TACTILE,BUTTON_4.7x3.5mm,"SW3, SW4"
1,LPC11U35FHI33/501,,QFN32_0.5mm_PAD,U1
1,NCP702N,,SOT23-5_0.95mm-NOSILK,U2
1,12MHz,CRYSTAL,CRY-SMD4-2.5x2mm,Y1
